"ID";"Geracao";"Paridade";"Status";"Nome";"Observacoes"
"=""0101""";"G01";"Impar";"Usado";"Lorena";"Encontrado no cadastro JSON"
"=""0102""";"G01";"Par";"Usado";"Alice";"Encontrado no cadastro JSON"
"=""0103""";"G01";"Impar";"Usado";"Pedro";"Encontrado no cadastro JSON"
"=""0104""";"G01";"Par";"Usado";"Rafael";"Encontrado no cadastro JSON"
"=""0105""";"G01";"Impar";"Usado";"Luna";"Encontrado no cadastro JSON"
"=""0106""";"G01";"Par";"Usado";"Gabriela";"Encontrado no cadastro JSON"
"=""0180""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0181""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0182""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0183""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0184""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0185""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0186""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0187""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0188""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0189""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0190""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0191""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0192""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0193""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0194""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0195""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0196""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0197""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
"=""0198""";"G01";"Par";"Livre";"";"Sugestao topo inverso"
"=""0199""";"G01";"Impar";"Livre";"";"Sugestao topo inverso"
